___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/1/1 to 2025/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #62  | x1  | Taylor Swift/Lover                                                                           | 61 Minutes and 51 Seconds   |
| #63  | x1  | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 76 Minutes and 37 Seconds   |
| #64  | x1  | Hedley/Famous Last Words                                                                     | 43 Minutes and 35 Seconds   |
| #65  | x1  | The Killers/Hot Fuss                                                                         | 56 Minutes and 18 Seconds   |
| #66  | x1  | Counting Crows/August And Everything After                                                   | 51 Minutes and 43 Seconds   |
| #67  | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #68  | x1  | The All American Rejects/When The World Comes Down                                           | 45 Minutes and 35 Seconds   |
| #69  | x1  | Janes Addiction/Nothings Shocking                                                            | 45 Minutes and 27 Seconds   |
| #70  | x1  | Fiona Apple/Tidal                                                                            | 51 Minutes and 42 Seconds   |
| #71  | x1  | Bruce Springsteen/Born In The Usa                                                            | 46 Minutes and 53 Seconds   |
| #72  | x1  | The Smashing Pumpkins/Gish                                                                   | 46 Minutes and 20 Seconds   |
| #73  | x1  | Hootie And The Blowfish/Cracked Rear View                                                    | 46 Minutes and 43 Seconds   |
| #74  | x1  | The Smashing Pumpkins/Siamese Dream                                                          | 62 Minutes and 12 Seconds   |
| #75  | x1  | Teenage Fanclub/Bandwagonesque                                                               | 42 Minutes and 54 Seconds   |
| #76  | x1  | Sum 41/Chuck                                                                                 | 37 Minutes and 55 Seconds   |
| #77  | x1  | Rem/Lifes Rich Pageant                                                                       | 38 Minutes and 29 Seconds   |
| #78  | x1  | Gruntruck/Push                                                                               | 53 Minutes and 46 Seconds   |
| #79  | x1  | Nirvana/Bleach                                                                               | 42 Minutes and 43 Seconds   |
| #80  | x1  | Green Day/Kerplunk                                                                           | 42 Minutes and 15 Seconds   |
| #81  | x1  | Pink Floyd/Atom Heart Mother                                                                 | 52 Minutes and 6 Seconds    |
| #82  | x1  | Boston/Boston                                                                                | 37 Minutes and 40 Seconds   |
| #83  | x1  | Nine Inch Nails/Bad Witch                                                                    | 30 Minutes and 15 Seconds   |
| #84  | x1  | Alice In Chains/Alice In Chains                                                              | 64 Minutes and 53 Seconds   |
| #85  | x1  | The Smashing Pumpkins/Mellon Collie And The Infinite Sadness                                 | 121 Minutes and 59 Seconds  |
| #86  | x1  | The Clash/Sandinista                                                                         | 144 Minutes and 42 Seconds  |
| #87  | x1  | The Doors/The Doors                                                                          | 44 Minutes and 28 Seconds   |
| #88  | x1  | Violent Femmes/Violent Femmes                                                                | 43 Minutes and 45 Seconds   |
| #89  | x1  | Skin Yard/1000 Smiling Knuckles                                                              | 34 Minutes and 41 Seconds   |
| #90  | x1  | Boston/Dont Look Back                                                                        | 33 Minutes and 53 Seconds   |
| #91  | x1  | Three Days Grace/One X                                                                       | 43 Minutes and 45 Seconds   |
| #92  | x1  | Acdc/Back In Black                                                                           | 42 Minutes and 1 Seconds    |
| #93  | x1  | Metallica/Ï¿½And Justice For All                                                             | 0 Minutes and 0 Seconds     |
| #94  | x1  | Green Day/International Superhits                                                            | 60 Minutes and 43 Seconds   |
| #95  | x1  | Taylor Swift/Midnights                                                                       | 44 Minutes and 8 Seconds    |
| #96  | x1  | Marcy Playground/Marcy Playground                                                            | 34 Minutes and 38 Seconds   |
| #97  | x1  | Billy Joel/52Nd St                                                                           | 40 Minutes and 28 Seconds   |
| #98  | x1  | Afi/Sing The Sorrow                                                                          | 56 Minutes and 0 Seconds    |
| #99  | x1  | The Smashing Pumpkins/Lull                                                                   | 14 Minutes and 18 Seconds   |
| #100 | x1  | Various Artists/Top Gun Original Motion Picture Soundtrack                                   | 38 Minutes and 44 Seconds   |
| #101 | x1  | Metallica/Kill Em All                                                                        | 51 Minutes and 17 Seconds   |
| #102 | x1  | King Crimson/Islands                                                                         | 41 Minutes and 27 Seconds   |
| #103 | x1  | Dire Straits/Love Over Gold                                                                  | 41 Minutes and 7 Seconds    |
| #104 | x1  | Nine Inch Nails/Year Zero                                                                    | 63 Minutes and 50 Seconds   |
| #105 | x1  | Alice In Chains/Dirt                                                                         | 57 Minutes and 33 Seconds   |
| #106 | x1  | Breaking Benjamin/Phobia                                                                     | 43 Minutes and 36 Seconds   |
| #107 | x1  | Rammstein/Sehnsucht                                                                          | 48 Minutes and 25 Seconds   |
| #108 | x1  | Snow Patrol/Eyes Open                                                                        | 45 Minutes and 5 Seconds    |
| #109 | x1  | Nine Inch Nails/The Fragile                                                                  | 103 Minutes and 47 Seconds  |
| #110 | x1  | Joy Division/Unknown Pleasures                                                               | 39 Minutes and 25 Seconds   |
| #111 | x1  | Rammstein/Herzelied                                                                          | 0 Minutes and 0 Seconds     |
| #112 | x1  | Antonin Dvorak/Symphony No 9                                                                 | 42 Minutes and 32 Seconds   |
| #113 | x1  | Van Morrison/Moondance                                                                       | 39 Minutes and 14 Seconds   |
