___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2023/9/26 to 2024/9/30                          |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #62  | x1  | Hedley/Hedley                                                                                | 40 Minutes and 31 Seconds   |
| #63  | x1  | Wolfmother/Wolfmother                                                                        | 54 Minutes and 32 Seconds   |
| #64  | x1  | Three Days Grace/Human                                                                       | 39 Minutes and 34 Seconds   |
| #65  | x1  | Antonin Dvorak/Symphony No 9                                                                 | 42 Minutes and 32 Seconds   |
| #66  | x1  | The Jimi Hendrix Experience/Are You Experienced                                              | 60 Minutes and 19 Seconds   |
| #67  | x1  | Green Day/Nimrod                                                                             | 49 Minutes and 9 Seconds    |
| #68  | x1  | Janes Addiction/Nothings Shocking                                                            | 45 Minutes and 27 Seconds   |
| #69  | x1  | Janes Addiction/Janes Addiction                                                              | 40 Minutes and 1 Seconds    |
| #70  | x1  | Joy Division/Closer                                                                          | 44 Minutes and 19 Seconds   |
| #71  | x1  | Green Day/1039 Smoothed Out Slappy Hours                                                     | 56 Minutes and 32 Seconds   |
| #72  | x1  | Various Artists/Top Gun Original Motion Picture Soundtrack                                   | 38 Minutes and 44 Seconds   |
| #73  | x1  | Deep Blue Something/Home                                                                     | 42 Minutes and 19 Seconds   |
| #74  | x1  | Pink Floyd/Wish You Were Here                                                                | 44 Minutes and 14 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

181 listens to albums in total

510694 total seconds spent listening to music, equivalent to 8511 Minutes, 141 Hours or 5 Days. That is 1.37% of the year. That is 19.7% of a month.
Press Enter to continue...
