___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/6/1 to 2026/6/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #64  | x1  | Buckcherry/15                                                                                | 42 Minutes and 33 Seconds   |
| #65  | x1  | Hammerbox/Numb                                                                               | 42 Minutes and 5 Seconds    |
| #66  | x1  | Boston/Dont Look Back                                                                        | 33 Minutes and 53 Seconds   |
| #67  | x1  | Nickelback/All The Right Reasons                                                             | 41 Minutes and 38 Seconds   |
| #68  | x1  | Styx/The Grand Illusion                                                                      | 39 Minutes and 0 Seconds    |
| #69  | x1  | Nine Inch Nails/Broken                                                                       | 31 Minutes and 36 Seconds   |
| #70  | x1  | Foreigner/Foreigner                                                                          | 39 Minutes and 29 Seconds   |
| #71  | x1  | Dire Straits/Making Movies                                                                   | 37 Minutes and 40 Seconds   |
| #72  | x1  | Rush/2112                                                                                    | 38 Minutes and 52 Seconds   |
| #73  | x1  | Led Zeppelin/Houses Of The Holy                                                              | 40 Minutes and 53 Seconds   |
| #74  | x1  | King Crimson/In The Court Of The Crimson King                                                | 43 Minutes and 54 Seconds   |
| #75  | x1  | Mark Knopfler/Sailing To Philadelphia                                                        | 60 Minutes and 31 Seconds   |
| #76  | x1  | Nirvana/In Utero                                                                             | 41 Minutes and 21 Seconds   |
| #77  | x1  | Alice Cooper/Love It To Death                                                                | 37 Minutes and 4 Seconds    |
| #78  | x1  | Alice In Chains/Facelift                                                                     | 54 Minutes and 7 Seconds    |
| #79  | x1  | Blind Melon/Soup                                                                             | 50 Minutes and 15 Seconds   |
| #80  | x1  | Filter/Title Of Record                                                                       | 70 Minutes and 29 Seconds   |
| #81  | x1  | Abba/Gold                                                                                    | 77 Minutes and 8 Seconds    |
| #82  | x1  | Stone Temple Pilots/Purple                                                                   | 46 Minutes and 59 Seconds   |
| #83  | x1  | Skin Yard/1000 Smiling Knuckles                                                              | 34 Minutes and 41 Seconds   |
| #84  | x1  | Monster Magnet/Dopes To Infinity                                                             | 68 Minutes and 4 Seconds    |
| #85  | x1  | Genesis/Genesis                                                                              | 45 Minutes and 59 Seconds   |
| #86  | x1  | The Police/Ghost In The Machine                                                              | 41 Minutes and 9 Seconds    |
| #87  | x1  | Alanis Morissette/Jagged Little Pill                                                         | 57 Minutes and 30 Seconds   |
| #88  | x1  | Crowded House/Crowded House                                                                  | 39 Minutes and 1 Seconds    |
| #89  | x1  | Derek And The Dominos/Layla And Other Assorted Love Songs                                    | 77 Minutes and 3 Seconds    |
| #90  | x1  | Collective Soul/Hints Allegations And Things Left Unsaid                                     | 45 Minutes and 20 Seconds   |
| #91  | x1  | Alice In Chains/Mtv Unplugged                                                                | 71 Minutes and 29 Seconds   |
| #92  | x1  | Genesis/Selling England By The Pound                                                         | 53 Minutes and 48 Seconds   |
| #93  | x1  | Fleetwood Mac/Tango In The Night                                                             | 44 Minutes and 35 Seconds   |
| #94  | x1  | Ludwig Van Beethoven/Fur Elise                                                               | 64 Minutes and 15 Seconds   |
| #95  | x1  | Antonio Vivaldi/The Four Seasons                                                             | 69 Minutes and 50 Seconds   |
| #96  | x1  | The Smashing Pumpkins/Pisces Iscariot                                                        | 57 Minutes and 27 Seconds   |
| #97  | x1  | Guns N Roses/G N R Lies                                                                      | 33 Minutes and 32 Seconds   |
| #97  | x1  | Guns N Roses/G N R Lies                                                                      | 33 Minutes and 32 Seconds   |
