___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/5/1 to 2026/5/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x24 | Van Halen/5150                                                                               | 1038 Minutes and 21 Seconds |
| #2   | x15 | Eagles/Eagles                                                                                | 556 Minutes and 50 Seconds  |
| #3   | x13 | Pink Floyd/The Dark Side Of The Moon                                                         | 558 Minutes and 24 Seconds  |
| #4   | x12 | Nickelback/Silver Side Up                                                                    | 470 Minutes and 7 Seconds   |
| #5   | x10 | Supertramp/Breakfast In America                                                              | 460 Minutes and 7 Seconds   |
| #6   | x10 | Nickelback/All The Right Reasons                                                             | 416 Minutes and 21 Seconds  |
| #7   | x9  | Rem/Monster                                                                                  | 443 Minutes and 23 Seconds  |
| #8   | x8  | Genesis/Invisible Touch                                                                      | 365 Minutes and 42 Seconds  |
| #9   | x8  | Creedence Clearwater Revival/Cosmos Factory                                                  | 343 Minutes and 17 Seconds  |
| #10  | x7  | Journey/Escape                                                                               | 299 Minutes and 40 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x7  | Yes/Talk                                                                                     | 385 Minutes and 10 Seconds  |
| #12  | x7  | Derek And The Dominos/Layla And Other Assorted Love Songs                                    | 539 Minutes and 27 Seconds  |
| #13  | x7  | Phil Collins/Hello I Must Be Going                                                           | 320 Minutes and 26 Seconds  |
| #14  | x7  | Pink Floyd/Wish You Were Here                                                                | 309 Minutes and 40 Seconds  |
| #15  | x6  | Third Eye Blind/Third Eye Blind                                                              | 345 Minutes and 39 Seconds  |
| #16  | x6  | Foreigner/4                                                                                  | 256 Minutes and 4 Seconds   |
| #17  | x5  | Genesis/Duke                                                                                 | 275 Minutes and 32 Seconds  |
| #18  | x5  | Yes/90125                                                                                    | 223 Minutes and 43 Seconds  |
| #19  | x5  | Zz Top/Afterburner                                                                           | 187 Minutes and 56 Seconds  |
| #20  | x5  | Phil Collins/But Seriously                                                                   | 298 Minutes and 46 Seconds  |
| #21  | x5  | Creed/Full Circle                                                                            | 253 Minutes and 40 Seconds  |
| #22  | x5  | Rush/Permanent Waves                                                                         | 178 Minutes and 28 Seconds  |
| #23  | x5  | Creed/My Own Prison                                                                          | 245 Minutes and 50 Seconds  |
| #24  | x4  | Eric Clapton/Slowhand                                                                        | 157 Minutes and 6 Seconds   |
| #25  | x4  | Blind Faith/Blind Faith                                                                      | 197 Minutes and 36 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x4  | Dire Straits/Dire Straits                                                                    | 165 Minutes and 43 Seconds  |
| #27  | x4  | Dire Straits/Making Movies                                                                   | 150 Minutes and 41 Seconds  |
| #28  | x3  | Creedence Clearwater Revival/Green River                                                     | 88 Minutes and 19 Seconds   |
| #29  | x3  | Fleetwood Mac/Tango In The Night                                                             | 133 Minutes and 46 Seconds  |
| #30  | x3  | Wolfgang Amadeus Mozart/Symphony No 41                                                       | 231 Minutes and 28 Seconds  |
| #31  | x3  | Rush/Counterparts                                                                            | 163 Minutes and 14 Seconds  |
| #32  | x3  | Genesis/Genesis                                                                              | 137 Minutes and 58 Seconds  |
| #33  | x3  | Eagles/Hotel California                                                                      | 130 Minutes and 21 Seconds  |
| #34  | x3  | Rush/Hold Your Fire                                                                          | 151 Minutes and 32 Seconds  |
| #35  | x3  | Genesis/Selling England By The Pound                                                         | 161 Minutes and 25 Seconds  |
| #36  | x3  | Genesis/And Then There Were Three                                                            | 159 Minutes and 16 Seconds  |
| #37  | x3  | Spin Doctors/Pocket Full Of Kryptonite                                                       | 152 Minutes and 16 Seconds  |
| #38  | x3  | Pink Floyd/Meddle                                                                            | 140 Minutes and 12 Seconds  |
| #39  | x3  | Europe/The Final Countdown                                                                   | 15 Minutes and 29 Seconds   |
| #40  | x3  | Mike And The Mechanics/Mike + The Mechanics                                                  | 120 Minutes and 42 Seconds  |
| #41  | x3  | Styx/The Grand Illusion                                                                      | 117 Minutes and 2 Seconds   |
| #42  | x2  | The Police/Synchronicity                                                                     | 88 Minutes and 57 Seconds   |
| #43  | x2  | Dire Straits/Brothers In Arms                                                                | 110 Minutes and 30 Seconds  |
| #44  | x2  | Tears For Fears/Songs From The Big Chair                                                     | 83 Minutes and 40 Seconds   |
| #45  | x2  | Boston/Walk On                                                                               | 88 Minutes and 46 Seconds   |
| #46  | x2  | Silverchair/Frogstomp                                                                        | 89 Minutes and 39 Seconds   |
| #47  | x2  | Motley Crue/Dr Feelgood                                                                      | 90 Minutes and 17 Seconds   |
| #48  | x2  | Led Zeppelin/Led Zeppelin Ii                                                                 | 82 Minutes and 58 Seconds   |
| #49  | x2  | Green Day/Revolution Radio                                                                   | 89 Minutes and 16 Seconds   |
| #50  | x2  | Motley Crue/Motley Crue                                                                      | 120 Minutes and 45 Seconds  |
| #50  | x2  | Motley Crue/Motley Crue                                                                      | 120 Minutes and 45 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #51  | x2  | Green Day/American Idiot                                                                     | 130 Minutes and 18 Seconds  |
| #52  | x2  | Van Halen/For Unlawful Carnal Knowledge                                                      | 104 Minutes and 14 Seconds  |
| #53  | x2  | Genesis/Abacab                                                                               | 93 Minutes and 22 Seconds   |
| #54  | x2  | Yes/Fragile                                                                                  | 82 Minutes and 20 Seconds   |
| #55  | x2  | Phil Collins/No Jacket Required                                                              | 101 Minutes and 30 Seconds  |
| #56  | x2  | The Grateful Dead/In The Dark                                                                | 81 Minutes and 40 Seconds   |
| #56  | x2  | The Grateful Dead/In The Dark                                                                | 81 Minutes and 40 Seconds   |
| #57  | x2  | Led Zeppelin/In Through The Out Door                                                         | 85 Minutes and 6 Seconds    |
| #58  | x2  | Mike And The Mechanics/Living Years                                                          | 94 Minutes and 23 Seconds   |
| #59  | x2  | Skin Yard/Inside The Eye                                                                     | 75 Minutes and 42 Seconds   |
| #60  | x2  | Billy Joel/52Nd Street                                                                       | 80 Minutes and 56 Seconds   |
| #61  | x2  | Van Halen/Ou812                                                                              | 101 Minutes and 23 Seconds  |
| #62  | x2  | Pink Floyd/Animals                                                                           | 83 Minutes and 35 Seconds   |
| #63  | x2  | Curved Air/Air Conditioning                                                                  | 90 Minutes and 38 Seconds   |
| #64  | x2  | Toto/Toto                                                                                    | 81 Minutes and 41 Seconds   |
| #65  | x2  | Richard Strauss/Also Sprach Zarathustra                                                      | 70 Minutes and 18 Seconds   |
| #66  | x2  | Kansas/Point Of Know Return                                                                  | 88 Minutes and 39 Seconds   |
| #67  | x1  | Creedence Clearwater Revival/Bayou Country                                                   | 34 Minutes and 8 Seconds    |
| #68  | x1  | Supertramp/Crisis What Crisis                                                                | 47 Minutes and 24 Seconds   |
| #69  | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #70  | x1  | Zz Top/Recycler                                                                              | 39 Minutes and 55 Seconds   |
| #71  | x1  | The Police/Ghost In The Machine                                                              | 41 Minutes and 9 Seconds    |
| #72  | x1  | Fleetwood Mac/Rumours                                                                        | 39 Minutes and 58 Seconds   |
| #73  | x1  | Foreigner/Head Games                                                                         | 38 Minutes and 9 Seconds    |
