___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/4/1 to 2025/4/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #61  | x2  | Alice In Chains/Jar Of Flies                                                                 | 61 Minutes and 43 Seconds   |
| #62  | x2  | Babe Ruth/First Base                                                                         | 84 Minutes and 5 Seconds    |
| #63  | x2  | Bryan Adams/Reckless                                                                         | 75 Minutes and 59 Seconds   |
| #64  | x2  | Rush/2112                                                                                    | 77 Minutes and 44 Seconds   |
| #65  | x1  | Green Day/Insomniac                                                                          | 32 Minutes and 55 Seconds   |
| #66  | x1  | Nine Inch Nails/Year Zero                                                                    | 63 Minutes and 50 Seconds   |
| #67  | x1  | Sum 41/Half Hour Of Power                                                                    | 26 Minutes and 26 Seconds   |
| #68  | x1  | Guns N Roses/Use Your Illusion I                                                             | 76 Minutes and 4 Seconds    |
| #69  | x1  | Deep Purple/Machine Head                                                                     | 37 Minutes and 46 Seconds   |
| #70  | x1  | The All American Rejects/When The World Comes Down                                           | 45 Minutes and 35 Seconds   |
| #71  | x1  | Wolfmother/Wolfmother                                                                        | 54 Minutes and 32 Seconds   |
| #72  | x1  | Giuseppe Verdi/Requiem                                                                       | 75 Minutes and 28 Seconds   |
| #73  | x1  | Green Day/Kerplunk                                                                           | 42 Minutes and 15 Seconds   |
| #74  | x1  | Bachman Turner Overdrive/Btos Greatest                                                       | 54 Minutes and 39 Seconds   |
| #75  | x1  | Def Leppard/Hysteria                                                                         | 62 Minutes and 37 Seconds   |
| #76  | x1  | Motley Crue/Dr Feelgood                                                                      | 45 Minutes and 8 Seconds    |
| #77  | x1  | Green Day/Dookie                                                                             | 39 Minutes and 46 Seconds   |
| #78  | x1  | Rem/Document                                                                                 | 39 Minutes and 49 Seconds   |
| #79  | x1  | Violent Femmes/Violent Femmes                                                                | 43 Minutes and 45 Seconds   |
| #80  | x1  | Collective Soul/Hints Allegations And Things Left Unsaid                                     | 45 Minutes and 20 Seconds   |
| #81  | x1  | Alice In Chains/Rainier Fog                                                                  | 53 Minutes and 54 Seconds   |
| #82  | x1  | The Clash/London Calling                                                                     | 65 Minutes and 7 Seconds    |
| #83  | x1  | Deep Blue Something/Home                                                                     | 42 Minutes and 19 Seconds   |
| #84  | x1  | Gustav Holst/The Planets                                                                     | 51 Minutes and 56 Seconds   |
| #85  | x1  | Guns N Roses/Appetite For Destruction                                                        | 53 Minutes and 48 Seconds   |
| #86  | x1  | Johannes Brahms/Symphony No 2                                                                | 45 Minutes and 0 Seconds    |
| #87  | x1  | The Bangles/Greatest Hits                                                                    | 48 Minutes and 25 Seconds   |
| #88  | x1  | Green Day/1039 Smoothed Out Slappy Hours                                                     | 56 Minutes and 32 Seconds   |
| #89  | x1  | Van Halen/1984                                                                               | 33 Minutes and 22 Seconds   |
| #90  | x1  | Temple Of The Dog/Temple Of The Dog                                                          | 55 Minutes and 16 Seconds   |
| #91  | x1  | Puddle Of Mudd/Come Clean                                                                    | 48 Minutes and 11 Seconds   |
| #92  | x1  | Alice In Chains/Black Gives Way To Blue                                                      | 54 Minutes and 17 Seconds   |
| #93  | x1  | Various Artists/Saturday Night Fever The Original Movie Sound Track                          | 76 Minutes and 1 Seconds    |
| #94  | x1  | Ludwig Van Beethoven/Symphony No 9                                                           | 72 Minutes and 40 Seconds   |
| #95  | x1  | Led Zeppelin/Led Zeppelin Ii                                                                 | 44 Minutes and 50 Seconds   |
| #95  | x1  | Led Zeppelin/Led Zeppelin Ii                                                                 | 41 Minutes and 29 Seconds   |
| #96  | x1  | The Offspring/Smash                                                                          | 46 Minutes and 44 Seconds   |
| #97  | x1  | Three Days Grace/Outsider                                                                    | 39 Minutes and 25 Seconds   |
| #98  | x1  | American Hi Fi/American Hi Fi                                                                | 49 Minutes and 1 Seconds    |
| #99  | x1  | Richard Strauss/Tod Und Verklarung                                                           | 27 Minutes and 1 Seconds    |
| #100 | x1  | Richard Strauss/Also Sprach Zarathustra                                                      | 35 Minutes and 9 Seconds    |
| #101 | x1  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 35 Minutes and 2 Seconds    |
| #102 | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #103 | x1  | Alice In Chains/Alice In Chains                                                              | 64 Minutes and 53 Seconds   |
| #104 | x1  | Blind Melon/Nico                                                                             | 38 Minutes and 35 Seconds   |
| #105 | x1  | Pink Floyd/The Wall                                                                          | 81 Minutes and 26 Seconds   |
| #106 | x1  | The Smashing Pumpkins/Oceania                                                                | 60 Minutes and 12 Seconds   |
| #107 | x1  | Meat Loaf/Bat Out Of Hell                                                                    | 46 Minutes and 35 Seconds   |
| #108 | x1  | Nine Inch Nails/Pretty Hate Machine                                                          | 48 Minutes and 47 Seconds   |
| #109 | x1  | Rob Zombie/Hellbilly Deluxe                                                                  | 38 Minutes and 29 Seconds   |
| #110 | x1  | Sum 41/All Killer No Filler                                                                  | 32 Minutes and 16 Seconds   |
| #111 | x1  | Dire Straits/Love Over Gold                                                                  | 41 Minutes and 7 Seconds    |
| #112 | x1  | Creed/Human Clay                                                                             | 60 Minutes and 27 Seconds   |
| #113 | x1  | Green Day/International Superhits                                                            | 60 Minutes and 43 Seconds   |
| #114 | x1  | Joy Division/Unknown Pleasures                                                               | 39 Minutes and 25 Seconds   |
| #115 | x1  | The Rembrandts/Lp                                                                            | 62 Minutes and 12 Seconds   |
| #116 | x1  | Ludwig Van Beethoven/Piano Sonatas Nos 8 13 And 14                                           | 52 Minutes and 5 Seconds    |
| #117 | x1  | Yes/90125                                                                                    | 44 Minutes and 44 Seconds   |
| #118 | x1  | Bruce Springsteen/Tunnel Of Love                                                             | 46 Minutes and 25 Seconds   |
| #119 | x1  | Pink Floyd/A Saucerful Of Secrets                                                            | 39 Minutes and 25 Seconds   |
| #120 | x1  | Yes/Fragile                                                                                  | 41 Minutes and 10 Seconds   |
| #121 | x1  | Asia/Asia                                                                                    | 44 Minutes and 21 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

314 listens to albums in total

857242 total seconds spent listening to music, equivalent to 14287 Minutes, 238 Hours or 9 Days. That is 2.47% of the year. That is 33.07% of a month.
Press Enter to continue...
