___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/4/1 to 2026/4/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x23 | Creed/Full Circle                                                                            | 1166 Minutes and 52 Seconds |
| #2   | x22 | Van Halen/5150                                                                               | 951 Minutes and 49 Seconds  |
| #3   | x17 | Nickelback/All The Right Reasons                                                             | 707 Minutes and 48 Seconds  |
| #4   | x9  | Breaking Benjamin/Ember                                                                      | 349 Minutes and 42 Seconds  |
| #5   | x8  | The Grateful Dead/In The Dark                                                                | 326 Minutes and 42 Seconds  |
| #6   | x8  | Journey/Escape                                                                               | 342 Minutes and 29 Seconds  |
| #7   | x8  | Blind Faith/Blind Faith                                                                      | 395 Minutes and 13 Seconds  |
| #8   | x7  | Nickelback/Silver Side Up                                                                    | 274 Minutes and 14 Seconds  |
| #9   | x7  | Creed/My Own Prison                                                                          | 344 Minutes and 10 Seconds  |
| #10  | x6  | Dire Straits/Making Movies                                                                   | 226 Minutes and 2 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x5  | Pink Floyd/Wish You Were Here                                                                | 221 Minutes and 12 Seconds  |
| #12  | x5  | Yes/90125                                                                                    | 223 Minutes and 43 Seconds  |
| #13  | x5  | Pink Floyd/The Dark Side Of The Moon                                                         | 214 Minutes and 46 Seconds  |
| #14  | x5  | Genesis/Duke                                                                                 | 275 Minutes and 32 Seconds  |
| #15  | x5  | Eagles/Eagles                                                                                | 185 Minutes and 36 Seconds  |
| #16  | x4  | Supertramp/Breakfast In America                                                              | 184 Minutes and 2 Seconds   |
| #17  | x4  | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 68 Minutes and 25 Seconds   |
| #18  | x4  | Eagles/Hotel California                                                                      | 173 Minutes and 48 Seconds  |
| #19  | x4  | Genesis/Invisible Touch                                                                      | 182 Minutes and 51 Seconds  |
