___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2024/10/1 to 2024/10/31                         |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #62  | x1  | The Goo Goo Dolls/A Boy Named Goo                                                            | 42 Minutes and 19 Seconds   |
| #63  | x1  | Filter/The Amalgamut                                                                         | 57 Minutes and 39 Seconds   |
| #64  | x1  | Alice In Chains/Sap                                                                          | 20 Minutes and 52 Seconds   |
| #65  | x1  | Dire Straits/Brothers In Arms                                                                | 55 Minutes and 15 Seconds   |
| #66  | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #67  | x1  | Bush/Razorblade Suitcase                                                                     | 61 Minutes and 39 Seconds   |
| #68  | x1  | Pink Floyd/Wish You Were Here                                                                | 44 Minutes and 14 Seconds   |
| #69  | x1  | Alanis Morissette/Alanis                                                                     | 41 Minutes and 9 Seconds    |
| #70  | x1  | Collective Soul/Hints Allegations And Things Left Unsaid                                     | 45 Minutes and 20 Seconds   |
| #71  | x1  | Dishwalla/Pet Your Friends                                                                   | 53 Minutes and 46 Seconds   |
| #72  | x1  | The Tea Party/The Edges Of Twilight                                                          | 67 Minutes and 12 Seconds   |
| #73  | x1  | Ludwig Van Beethoven/Symphony No 3                                                           | 62 Minutes and 47 Seconds   |
| #74  | x1  | Bachman Turner Overdrive/Btos Greatest                                                       | 54 Minutes and 39 Seconds   |
| #75  | x1  | Taylor Swift/Midnights                                                                       | 44 Minutes and 8 Seconds    |
| #76  | x1  | Rush/2112                                                                                    | 38 Minutes and 52 Seconds   |
| #77  | x1  | My Bloody Valentine/Loveless                                                                 | 48 Minutes and 36 Seconds   |
| #78  | x1  | Violent Femmes/Violent Femmes                                                                | 43 Minutes and 45 Seconds   |
| #79  | x1  | Ludwig Van Beethoven/Piano Sonata No 8                                                       | 20 Minutes and 6 Seconds    |
| #80  | x1  | Third Eye Blind/Third Eye Blind                                                              | 57 Minutes and 36 Seconds   |
| #81  | x1  | Ludwig Van Beethoven/Symphony No 5                                                           | 38 Minutes and 36 Seconds   |
| #82  | x1  | Dire Straits/Love Over Gold                                                                  | 41 Minutes and 7 Seconds    |
| #83  | x1  | Creedence Clearwater Revival/Creedence Clearwater Revival                                    | 33 Minutes and 55 Seconds   |
| #84  | x1  | Joy Division/Unknown Pleasures                                                               | 39 Minutes and 25 Seconds   |
| #85  | x1  | Creed/Human Clay                                                                             | 60 Minutes and 27 Seconds   |
| #86  | x1  | The Clash/Combat Rock                                                                        | 46 Minutes and 3 Seconds    |
| #87  | x1  | Jet/Get Born                                                                                 | 48 Minutes and 38 Seconds   |
| #88  | x1  | The Killers/Sams Town                                                                        | 44 Minutes and 14 Seconds   |
| #89  | x1  | Rush/Moving Pictures                                                                         | 40 Minutes and 8 Seconds    |
| #90  | x1  | Marcy Playground/Marcy Playground                                                            | 34 Minutes and 38 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

259 listens to albums in total

785157 total seconds spent listening to music, equivalent to 13085 Minutes, 218 Hours or 9 Days. That is 2.47% of the year
Press Enter to continue...
