___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/3/1 to 2026/3/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #64  | x2  | Genesis/Genesis                                                                              | 91 Minutes and 58 Seconds   |
| #65  | x2  | The Grateful Dead/In The Dark                                                                | 81 Minutes and 40 Seconds   |
| #66  | x2  | Sum 41/Chuck                                                                                 | 75 Minutes and 51 Seconds   |
| #67  | x1  | Sum 41/Screaming Bloody Murder                                                               | 48 Minutes and 36 Seconds   |
| #68  | x1  | The Sex Pistols/Never Mind The Bollocks                                                      | 38 Minutes and 48 Seconds   |
| #69  | x1  | The All American Rejects/Move Along                                                          | 42 Minutes and 14 Seconds   |
| #70  | x1  | Rush/Moving Pictures                                                                         | 40 Minutes and 8 Seconds    |
| #71  | x1  | Fleetwood Mac/Rumours                                                                        | 39 Minutes and 58 Seconds   |
| #72  | x1  | Pink Floyd/The Division Bell                                                                 | 66 Minutes and 31 Seconds   |
| #73  | x1  | Alice In Chains/Alice In Chains                                                              | 64 Minutes and 53 Seconds   |
| #74  | x1  | Green Day/Insomniac                                                                          | 32 Minutes and 55 Seconds   |
| #75  | x1  | Paramore/After Laughter                                                                      | 42 Minutes and 38 Seconds   |
| #76  | x1  | Rush/Counterparts                                                                            | 54 Minutes and 24 Seconds   |
| #77  | x1  | Vangelis/Invisible Connections                                                               | 39 Minutes and 46 Seconds   |
| #78  | x1  | Metallica/Metallica                                                                          | 62 Minutes and 37 Seconds   |
| #79  | x1  | Mike And The Mechanics/The Living Years                                                      | 47 Minutes and 11 Seconds   |
| #80  | x1  | The Smashing Pumpkins/Lull                                                                   | 14 Minutes and 18 Seconds   |
| #81  | x1  | Dire Straits/Communique                                                                      | 41 Minutes and 59 Seconds   |
| #82  | x1  | The Smashing Pumpkins/Gish                                                                   | 46 Minutes and 20 Seconds   |
| #83  | x1  | Rem/Collapse Into Now                                                                        | 41 Minutes and 5 Seconds    |
| #84  | x1  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 35 Minutes and 2 Seconds    |
| #85  | x1  | The Tragically Hip/Day For Night                                                             | 59 Minutes and 33 Seconds   |
| #86  | x1  | Honeymoon Suite/Honeymoon Suite                                                              | 38 Minutes and 48 Seconds   |
| #87  | x1  | Rem/Monster                                                                                  | 49 Minutes and 15 Seconds   |
| #88  | x1  | Donots/Got The Noise                                                                         | 41 Minutes and 33 Seconds   |
| #89  | x1  | Nine Inch Nails/Year Zero                                                                    | 63 Minutes and 50 Seconds   |
| #90  | x1  | The Beatles/Sgt Peppers Lonely Hearts Club Band                                              | 39 Minutes and 50 Seconds   |
| #91  | x1  | Three Days Grace/Transit Of Venus                                                            | 41 Minutes and 44 Seconds   |
| #92  | x1  | Bullet For My Valentine/Fever                                                                | 0 Minutes and 0 Seconds     |
| #93  | x1  | Franz Ferdinand/Franz Ferdinand                                                              | 38 Minutes and 49 Seconds   |
| #94  | x1  | Veruca Salt/Eight Arms To Hold You                                                           | 51 Minutes and 14 Seconds   |
| #95  | x1  | Phil Collins/Serious Hitslive                                                                | 76 Minutes and 50 Seconds   |
| #96  | x1  | Green Day/1039 Smoothed Out Slappy Hours                                                     | 56 Minutes and 32 Seconds   |
| #97  | x1  | Coldplay/A Rush Of Blood To The Head                                                         | 54 Minutes and 12 Seconds   |
| #98  | x1  | Bryan Adams/Reckless                                                                         | 37 Minutes and 59 Seconds   |
| #99  | x1  | Genesis/Nursery Cryme                                                                        | 39 Minutes and 32 Seconds   |
| #100 | x1  | Alice In Chains/Black Gives Way To Blue                                                      | 54 Minutes and 17 Seconds   |
| #101 | x1  | Nektar/Journey To The Centre Of The Eye                                                      | 42 Minutes and 8 Seconds    |
| #102 | x1  | Survivor/Eye Of The Tiger                                                                    | 38 Minutes and 11 Seconds   |
| #103 | x1  | Whitesnake/Whitesnake                                                                        | 42 Minutes and 33 Seconds   |
| #104 | x1  | Mother Love Bone/Shine                                                                       | 25 Minutes and 18 Seconds   |
| #105 | x1  | Billy Talent/Afraid Of Heights                                                               | 48 Minutes and 59 Seconds   |
| #106 | x1  | Van Halen/Balance                                                                            | 53 Minutes and 17 Seconds   |
| #107 | x1  | The Killers/Hot Fuss                                                                         | 56 Minutes and 18 Seconds   |
| #108 | x1  | Spin Doctors/Pocket Full Of Kryptonite                                                       | 50 Minutes and 45 Seconds   |
| #109 | x1  | Filter/Short Bus                                                                             | 46 Minutes and 2 Seconds    |
| #110 | x1  | The Police/Ghost In The Machine                                                              | 41 Minutes and 9 Seconds    |
| #111 | x1  | Breaking Benjamin/Dear Agony                                                                 | 41 Minutes and 59 Seconds   |
| #112 | x1  | Rage Against The Machine/Rage Against The Machine                                            | 52 Minutes and 56 Seconds   |
| #113 | x1  | Johannes Brahms/Symphony No 4                                                                | 41 Minutes and 53 Seconds   |
| #114 | x1  | Billy Joel/An Innocent Man                                                                   | 40 Minutes and 21 Seconds   |
| #115 | x1  | Wolfgang Amadeus Mozart/Serenata Notturna                                                    | 13 Minutes and 27 Seconds   |
| #116 | x1  | Mark Knopfler/All The Roadrunning                                                            | 50 Minutes and 33 Seconds   |
| #117 | x1  | Genesis/Abacab                                                                               | 46 Minutes and 41 Seconds   |
| #118 | x1  | Mark Knopfler/Sailing To Philadelphia                                                        | 60 Minutes and 31 Seconds   |
| #119 | x1  | My Bloody Valentine/Loveless                                                                 | 48 Minutes and 36 Seconds   |
| #120 | x1  | Yes/Big Generator                                                                            | 43 Minutes and 39 Seconds   |
| #121 | x1  | Jet/Get Born                                                                                 | 48 Minutes and 38 Seconds   |
| #122 | x1  | Papa Roach/Infest                                                                            | 45 Minutes and 58 Seconds   |
| #123 | x1  | The Smashing Pumpkins/Siamese Dream                                                          | 62 Minutes and 15 Seconds   |
| #124 | x1  | Dire Straits/Love Over Gold                                                                  | 41 Minutes and 7 Seconds    |
| #125 | x1  | Guns N Roses/Appetite For Destruction                                                        | 53 Minutes and 48 Seconds   |
| #126 | x1  | Dire Straits/Brothers In Arms                                                                | 55 Minutes and 15 Seconds   |
| #127 | x1  | The Band/The Band                                                                            | 43 Minutes and 55 Seconds   |
| #128 | x1  | Creed/Weathered                                                                              | 50 Minutes and 5 Seconds    |
| #129 | x1  | Alice In Chains/Dirt                                                                         | 57 Minutes and 33 Seconds   |
| #130 | x1  | Blind Melon/Nico                                                                             | 38 Minutes and 35 Seconds   |
| #131 | x1  | Abba/Gold                                                                                    | 77 Minutes and 8 Seconds    |
| #132 | x1  | Van Halen/Van Halen Ii                                                                       | 31 Minutes and 53 Seconds   |
