___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/9/1 to 2025/9/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #63  | x1  | Pink Floyd/A Saucerful Of Secrets                                                            | 39 Minutes and 25 Seconds   |
| #64  | x1  | The Flaming Lips/Yoshimi Battles The Giant Robots                                            | 47 Minutes and 25 Seconds   |
| #65  | x1  | Rem/Out Of Time                                                                              | 44 Minutes and 8 Seconds    |
| #66  | x1  | Gustav Holst/The Planets Suite                                                               | 51 Minutes and 56 Seconds   |
| #67  | x1  | The Rembrandts/Lp                                                                            | 62 Minutes and 12 Seconds   |
| #68  | x1  | Richard Strauss/Also Sprach Zarathustra                                                      | 35 Minutes and 9 Seconds    |
| #69  | x1  | Bruce Springsteen/Born In The Usa                                                            | 46 Minutes and 53 Seconds   |
| #70  | x1  | The Police/Synchronicity                                                                     | 44 Minutes and 28 Seconds   |
| #71  | x1  | Metallica/And Justice For All                                                                | 65 Minutes and 27 Seconds   |
| #72  | x1  | The Smashing Pumpkins/Gish                                                                   | 46 Minutes and 20 Seconds   |
| #73  | x1  | Jet/Get Born                                                                                 | 48 Minutes and 38 Seconds   |
| #74  | x1  | Pink Floyd/The Division Bell                                                                 | 66 Minutes and 31 Seconds   |
| #75  | x1  | Various Artists/Top Gun Original Motion Picture Soundtrack                                   | 38 Minutes and 44 Seconds   |
| #76  | x1  | Pearl Jam/Vs                                                                                 | 46 Minutes and 16 Seconds   |
| #77  | x1  | Van Halen/Diver Down                                                                         | 31 Minutes and 29 Seconds   |
| #78  | x1  | Gustav Holst/The Planets                                                                     | 51 Minutes and 56 Seconds   |
| #79  | x1  | Three Days Grace/Human                                                                       | 39 Minutes and 34 Seconds   |
| #80  | x1  | Three Days Grace/Outsider                                                                    | 39 Minutes and 25 Seconds   |
| #81  | x1  | The Clash/Combat Rock                                                                        | 46 Minutes and 3 Seconds    |
| #82  | x1  | The Clash/The Clash                                                                          | 43 Minutes and 33 Seconds   |
| #83  | x1  | The Clash/Sandinista                                                                         | 144 Minutes and 42 Seconds  |
| #84  | x1  | Monster Magnet/Dopes To Infinity                                                             | 68 Minutes and 4 Seconds    |
| #85  | x1  | Rush/Counterparts                                                                            | 54 Minutes and 24 Seconds   |
| #86  | x1  | Kansas/Point Of Know Return                                                                  | 44 Minutes and 19 Seconds   |
| #87  | x1  | Green Day/American Idiot                                                                     | 65 Minutes and 9 Seconds    |
| #88  | x1  | Alice In Chains/Black Gives Way To Blue                                                      | 54 Minutes and 17 Seconds   |
| #89  | x1  | Led Zeppelin/Houses Of The Holy                                                              | 40 Minutes and 53 Seconds   |
| #90  | x1  | Nine Inch Nails/Add Violence                                                                 | 27 Minutes and 15 Seconds   |
| #91  | x1  | My Chemical Romance/Three Cheers For Sweet Revenge                                           | 39 Minutes and 42 Seconds   |
| #92  | x1  | The Breeders/Last Splash                                                                     | 39 Minutes and 44 Seconds   |
| #93  | x1  | The Doors/Waiting For The Sun                                                                | 33 Minutes and 12 Seconds   |
| #94  | x1  | King Crimson/In The Wake Of Poseidon                                                         | 41 Minutes and 05 Seconds   |
| #95  | x1  | Deep Purple/Machine Head                                                                     | 37 Minutes and 46 Seconds   |
| #96  | x1  | Led Zeppelin/Led Zeppelin Iv                                                                 | 44 Minutes and 50 Seconds   |
| #96  | x1  | Led Zeppelin/Led Zeppelin Iv                                                                 | 42 Minutes and 36 Seconds   |
| #97  | x1  | Genesis/A Trick Of The Tail                                                                  | 51 Minutes and 10 Seconds   |
| #98  | x1  | Green Day/Saviors                                                                            | 46 Minutes and 2 Seconds    |
| #99  | x1  | Soundgarden/Badmotorfinger                                                                   | 57 Minutes and 47 Seconds   |
| #100 | x1  | The Offspring/Smash                                                                          | 46 Minutes and 44 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

264 listens to albums in total

717471 total seconds spent listening to music, equivalent to 11957 Minutes, 199 Hours or 8 Days. That is 2.19% of the year. That is 27.68% of a month.
Press Enter to continue...
