___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/6/1 to 2025/6/30                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x17 | Genesis/Selling England By The Pound                                                         | 914 Minutes and 42 Seconds  |
| #2   | x17 | Genesis/Invisible Touch                                                                      | 777 Minutes and 8 Seconds   |
| #3   | x16 | Jethro Tull/Thick As A Brick                                                                 | 697 Minutes and 43 Seconds  |
| #4   | x13 | Rush/Counterparts                                                                            | 707 Minutes and 22 Seconds  |
| #5   | x11 | Pink Floyd/Meddle                                                                            | 514 Minutes and 7 Seconds   |
| #6   | x11 | The Sex Pistols/Never Mind The Bollocks                                                      | 426 Minutes and 51 Seconds  |
| #7   | x11 | Bruce Springsteen/Tunnel Of Love                                                             | 510 Minutes and 38 Seconds  |
| #8   | x7  | Billy Joel/52Nd Street                                                                       | 283 Minutes and 18 Seconds  |
| #9   | x7  | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 119 Minutes and 42 Seconds  |
| #10  | x6  | Van Halen/Ou812                                                                              | 304 Minutes and 10 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x5  | The Clash/London Calling                                                                     | 325 Minutes and 37 Seconds  |
| #12  | x5  | Bruce Springsteen/Born In The Usa                                                            | 234 Minutes and 29 Seconds  |
| #13  | x5  | Sabrina Carpenter/Short N Sweet                                                              | 181 Minutes and 19 Seconds  |
| #14  | x4  | The Grateful Dead/Workingmans Dead                                                           | 143 Minutes and 30 Seconds  |
| #15  | x4  | Genesis/Genesis                                                                              | 183 Minutes and 57 Seconds  |
| #16  | x4  | Richard Strauss/Also Sprach Zarathustra                                                      | 140 Minutes and 36 Seconds  |
| #17  | x4  | The Breeders/Last Splash                                                                     | 158 Minutes and 57 Seconds  |
| #18  | x4  | Counting Crows/August And Everything After                                                   | 206 Minutes and 53 Seconds  |
| #19  | x4  | Bryan Adams/Reckless                                                                         | 151 Minutes and 59 Seconds  |
| #20  | x4  | Supertramp/Supertramp                                                                        | 191 Minutes and 21 Seconds  |
| #21  | x4  | Led Zeppelin/Led Zeppelin Iv                                                                 | 179 Minutes and 20 Seconds  |
| #22  | x4  | The Bangles/Greatest Hits                                                                    | 193 Minutes and 40 Seconds  |
| #23  | x4  | Yes/90125                                                                                    | 178 Minutes and 58 Seconds  |
| #24  | x3  | Ludwig Van Beethoven/Piano Sonata No 8                                                       | 60 Minutes and 18 Seconds   |
| #25  | x3  | Rem/Lifes Rich Pageant                                                                       | 115 Minutes and 29 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Nine Inch Nails/Add Violence                                                                 | 81 Minutes and 45 Seconds   |
| #27  | x3  | The Clash/The Clash                                                                          | 130 Minutes and 40 Seconds  |
| #28  | x3  | Richard Strauss/Tod Und Verklarung                                                           | 81 Minutes and 3 Seconds    |
| #29  | x3  | Teenage Fanclub/Bandwagonesque                                                               | 128 Minutes and 44 Seconds  |
| #30  | x3  | Supertramp/Breakfast In America                                                              | 138 Minutes and 2 Seconds   |
| #31  | x3  | Motley Crue/Dr Feelgood                                                                      | 135 Minutes and 26 Seconds  |
| #32  | x3  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 151 Minutes and 30 Seconds  |
| #33  | x3  | Hammerbox/Numb                                                                               | 126 Minutes and 15 Seconds  |
| #34  | x3  | Pink Floyd/The Dark Side Of The Moon                                                         | 128 Minutes and 51 Seconds  |
| #35  | x3  | Rem/Automatic For The People                                                                 | 146 Minutes and 36 Seconds  |
| #36  | x3  | Pink Floyd/The Division Bell                                                                 | 199 Minutes and 33 Seconds  |
| #37  | x3  | The Police/Synchronicity                                                                     | 133 Minutes and 25 Seconds  |
| #38  | x2  | Frederic Chopin/Nocturnes                                                                    | 135 Minutes and 18 Seconds  |
| #39  | x2  | Dire Straits/Communique                                                                      | 83 Minutes and 58 Seconds   |
