___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/11/1 to 2025/11/30                         |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #1   | x18 | Derek And The Dominos/Layla And Other Assorted Love Songs                                    | 1387 Minutes and 11 Seconds |
| #2   | x12 | Genesis/Abacab                                                                               | 560 Minutes and 16 Seconds  |
| #3   | x11 | Fleetwood Mac/Tango In The Night                                                             | 490 Minutes and 31 Seconds  |
| #4   | x10 | Yes/90125                                                                                    | 447 Minutes and 26 Seconds  |
| #5   | x7  | Genesis/Wind And Wuthering                                                                   | 356 Minutes and 24 Seconds  |
| #6   | x7  | Tears For Fears/Songs From The Big Chair                                                     | 292 Minutes and 52 Seconds  |
| #7   | x6  | Billy Joel/Storm Front                                                                       | 269 Minutes and 47 Seconds  |
| #8   | x6  | Phil Collins/No Jacket Required                                                              | 304 Minutes and 31 Seconds  |
| #9   | x6  | The Grateful Dead/In The Dark                                                                | 243 Minutes and 42 Seconds  |
| #10  | x6  | John Cougar Mellencamp/Scarecrow                                                             | 246 Minutes and 52 Seconds  |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #11  | x6  | Honeymoon Suite/Honeymoon Suite                                                              | 232 Minutes and 51 Seconds  |
| #12  | x5  | Rush/Counterparts                                                                            | 272 Minutes and 4 Seconds   |
| #13  | x5  | Veruca Salt/Eight Arms To Hold You                                                           | 256 Minutes and 11 Seconds  |
| #14  | x5  | Zz Top/Afterburner                                                                           | 187 Minutes and 56 Seconds  |
| #15  | x4  | Billy Joel/52Nd Street                                                                       | 161 Minutes and 53 Seconds  |
| #16  | x4  | Sum 41/All Killer No Filler                                                                  | 129 Minutes and 4 Seconds   |
| #17  | x4  | Pink Floyd/The Dark Side Of The Moon                                                         | 171 Minutes and 49 Seconds  |
| #18  | x4  | Styx/Styx I                                                                                  | 130 Minutes and 24 Seconds  |
| #19  | x4  | Pink Floyd/Wish You Were Here                                                                | 176 Minutes and 57 Seconds  |
| #20  | x4  | King Crimson/Islands                                                                         | 165 Minutes and 50 Seconds  |
| #21  | x4  | The Police/Synchronicity                                                                     | 177 Minutes and 54 Seconds  |
| #22  | x3  | Supertramp/Breakfast In America                                                              | 138 Minutes and 2 Seconds   |
| #23  | x3  | Bruce Springsteen/Tunnel Of Love                                                             | 139 Minutes and 16 Seconds  |
| #24  | x3  | Sabrina Carpenter/Short N Sweet                                                              | 108 Minutes and 47 Seconds  |
| #25  | x3  | Wolfgang Amadeus Mozart/Eine Kleine Nachtmusik                                               | 51 Minutes and 18 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
| #26  | x3  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 151 Minutes and 30 Seconds  |
| #27  | x3  | Filter/The Amalgamut                                                                         | 172 Minutes and 59 Seconds  |
| #28  | x3  | The Clash/The Clash                                                                          | 130 Minutes and 40 Seconds  |
| #29  | x2  | Afi/Decemberunderground                                                                      | 89 Minutes and 28 Seconds   |
| #30  | x2  | Guns N Roses/Appetite For Destruction                                                        | 107 Minutes and 37 Seconds  |
| #31  | x2  | Stone Temple Pilots/Purple                                                                   | 93 Minutes and 59 Seconds   |
| #32  | x2  | Various Artists/The Terminator Original Soundtrack                                           | 71 Minutes and 16 Seconds   |
| #33  | x2  | Grateful Dead/In The Dark                                                                    | 81 Minutes and 14 Seconds   |
| #34  | x2  | Bush/Razorblade Suitcase                                                                     | 123 Minutes and 19 Seconds  |
| #35  | x2  | Genesis/Invisible Touch                                                                      | 91 Minutes and 25 Seconds   |
| #36  | x2  | Rush/Hold Your Fire                                                                          | 101 Minutes and 1 Seconds   |
| #37  | x2  | Pearl Jam/Vs                                                                                 | 92 Minutes and 33 Seconds   |
| #38  | x2  | Rem/Automatic For The People                                                                 | 97 Minutes and 44 Seconds   |
| #39  | x2  | Genesis/Selling England By The Pound                                                         | 107 Minutes and 36 Seconds  |
| #40  | x2  | Joy Division/Unknown Pleasures                                                               | 78 Minutes and 51 Seconds   |
| #41  | x2  | Taylor Swift/Midnights                                                                       | 88 Minutes and 16 Seconds   |
| #42  | x2  | Pink Floyd/Meddle                                                                            | 93 Minutes and 28 Seconds   |
