___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2024/12/1 to 2024/12/31                         |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #62  | x1  | The Doors/La Woman                                                                           | 48 Minutes and 46 Seconds   |
| #63  | x1  | Pink Floyd/Animals                                                                           | 41 Minutes and 47 Seconds   |
| #64  | x1  | Nirvana/Nevermind                                                                            | 59 Minutes and 24 Seconds   |
| #65  | x1  | Green Day/Revolution Radio                                                                   | 44 Minutes and 38 Seconds   |
| #66  | x1  | Pink Floyd/Wish You Were Here                                                                | 44 Minutes and 14 Seconds   |
| #67  | x1  | Joy Division/Unknown Pleasures                                                               | 39 Minutes and 25 Seconds   |
| #68  | x1  | Janes Addiction/Nothings Shocking                                                            | 45 Minutes and 27 Seconds   |
| #69  | x1  | Janes Addiction/Janes Addiction                                                              | 40 Minutes and 1 Seconds    |
| #70  | x1  | Van Halen/1984                                                                               | 33 Minutes and 22 Seconds   |
| #71  | x1  | The Smashing Pumpkins/Siamese Dream                                                          | 62 Minutes and 12 Seconds   |
| #72  | x1  | Led Zeppelin/Led Zeppelin                                                                    | 290 Minutes and 17 Seconds  |
| #73  | x1  | Sum 41/Chuck                                                                                 | 37 Minutes and 55 Seconds   |
| #74  | x1  | My Chemical Romance/Three Cheers For Sweet Revenge                                           | 39 Minutes and 42 Seconds   |
| #75  | x1  | The Offspring/Smash                                                                          | 46 Minutes and 44 Seconds   |
| #76  | x1  | Def Leppard/Hysteria                                                                         | 62 Minutes and 37 Seconds   |
| #77  | x1  | Nine Inch Nails/Year Zero                                                                    | 63 Minutes and 50 Seconds   |
| #78  | x1  | Bangles/Greatest Hits                                                                        | 48 Minutes and 25 Seconds   |
| #79  | x1  | Filter/Title Of Record                                                                       | 70 Minutes and 29 Seconds   |
| #80  | x1  | The Rembrandts/Lp                                                                            | 62 Minutes and 12 Seconds   |
| #81  | x1  | Evard Grieg/Peer Gynt Suite No 2                                                             | 17 Minutes and 21 Seconds   |
| #82  | x1  | Green Day/American Idiot                                                                     | 65 Minutes and 9 Seconds    |
| #83  | x1  | Van Halen/5150                                                                               | 43 Minutes and 15 Seconds   |
