___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/1/1 to 2026/1/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #63  | x2  | Fiona Apple/Tidal                                                                            | 103 Minutes and 25 Seconds  |
| #64  | x2  | Boston/Dont Look Back                                                                        | 67 Minutes and 47 Seconds   |
| #65  | x2  | Veruca Salt/Eight Arms To Hold You                                                           | 102 Minutes and 28 Seconds  |
| #66  | x2  | Rush/Rush                                                                                    | 80 Minutes and 36 Seconds   |
| #67  | x2  | Genesis/We Cant Dance                                                                        | 143 Minutes and 11 Seconds  |
| #68  | x1  | Dire Straits/Love Over Gold                                                                  | 41 Minutes and 7 Seconds    |
| #69  | x1  | Puddle Of Mudd/Come Clean                                                                    | 48 Minutes and 11 Seconds   |
| #70  | x1  | The White Stripes/White Blood Cells                                                          | 40 Minutes and 30 Seconds   |
| #71  | x1  | Jimmy Eat World/Bleed American                                                               | 46 Minutes and 43 Seconds   |
| #72  | x1  | Bush/Golden State                                                                            | 47 Minutes and 20 Seconds   |
| #73  | x1  | The Clash/Combat Rock                                                                        | 46 Minutes and 3 Seconds    |
| #74  | x1  | Def Leppard/Hysteria                                                                         | 62 Minutes and 37 Seconds   |
| #75  | x1  | Asia/Asia                                                                                    | 44 Minutes and 21 Seconds   |
| #76  | x1  | Johann Strauss Ii/An Der Schonen Blauen Donau                                                | 50 Minutes and 29 Seconds   |
| #77  | x1  | Counting Crows/August And Everything After                                                   | 51 Minutes and 43 Seconds   |
| #78  | x1  | Audioslave/Out Of Exile                                                                      | 53 Minutes and 43 Seconds   |
| #79  | x1  | The Grateful Dead/In The Dark                                                                | 40 Minutes and 50 Seconds   |
| #80  | x1  | Third Eye Blind/Third Eye Blind                                                              | 57 Minutes and 36 Seconds   |
| #81  | x1  | Joy Division/Unknown Pleasures                                                               | 39 Minutes and 25 Seconds   |
| #82  | x1  | Metallica/Garage Inc                                                                         | 136 Minutes and 37 Seconds  |
| #83  | x1  | The Bangles/Greatest Hits                                                                    | 48 Minutes and 25 Seconds   |
