___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2025/5/1 to 2025/5/31                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #61  | x1  | Paramore/After Laughter                                                                      | 42 Minutes and 38 Seconds   |
| #62  | x1  | Metallica/Metallica                                                                          | 62 Minutes and 37 Seconds   |
| #63  | x1  | The Tea Party/The Edges Of Twilight                                                          | 67 Minutes and 12 Seconds   |
| #64  | x1  | Pink Floyd/Wish You Were Here                                                                | 44 Minutes and 14 Seconds   |
| #65  | x1  | American Hi Fi/American Hi Fi                                                                | 49 Minutes and 1 Seconds    |
| #66  | x1  | The Clash/London Calling                                                                     | 65 Minutes and 7 Seconds    |
| #67  | x1  | Nine Inch Nails/Hesitation Marks                                                             | 61 Minutes and 57 Seconds   |
| #68  | x1  | The Goo Goo Dolls/Dizzy Up The Girl                                                          | 45 Minutes and 9 Seconds    |
| #69  | x1  | Richard Strauss/Also Sprach Zarathustra                                                      | 35 Minutes and 9 Seconds    |
| #70  | x1  | Bruce Springsteen/Born In The Usa                                                            | 46 Minutes and 53 Seconds   |
| #71  | x1  | Pyotr Ilyich Tchaikovsky/Symphony No 4                                                       | 42 Minutes and 59 Seconds   |
| #72  | x1  | Collective Soul/Hints Allegations And Things Left Unsaid                                     | 45 Minutes and 20 Seconds   |
| #73  | x1  | Van Halen/Van Halen                                                                          | 35 Minutes and 32 Seconds   |
| #74  | x1  | Alanis Morissette/Jagged Little Pill                                                         | 57 Minutes and 30 Seconds   |
| #75  | x1  | Rage Against The Machine/Rage Against The Machine                                            | 52 Minutes and 56 Seconds   |
| #76  | x1  | Van Morrison/Moondance                                                                       | 39 Minutes and 14 Seconds   |
| #77  | x1  | Snow Patrol/Eyes Open                                                                        | 45 Minutes and 5 Seconds    |
