___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/2/1 to 2026/2/28                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #64  | x2  | King Crimson/Islands                                                                         | 82 Minutes and 55 Seconds   |
| #65  | x1  | Blind Melon/Nico                                                                             | 38 Minutes and 35 Seconds   |
| #66  | x1  | Wolfgang Amadeus Mozart/Symphony No 41                                                       | 77 Minutes and 9 Seconds    |
| #67  | x1  | The Tuesdays/The Tuesdays                                                                    | 44 Minutes and 35 Seconds   |
| #68  | x1  | Metallica/And Justice For All                                                                | 65 Minutes and 27 Seconds   |
| #69  | x1  | Pearl Jam/Vs                                                                                 | 46 Minutes and 16 Seconds   |
| #70  | x1  | Audioslave/Audioslave                                                                        | 65 Minutes and 26 Seconds   |
| #71  | x1  | Pyotr Ilyich Tchaikovsky/Der Nussknacker                                                     | 73 Minutes and 12 Seconds   |
| #72  | x1  | The Grateful Dead/In The Dark                                                                | 40 Minutes and 50 Seconds   |
| #73  | x1  | Paramore/After Laughter                                                                      | 42 Minutes and 38 Seconds   |
| #74  | x1  | Stone Temple Pilots/Purple                                                                   | 46 Minutes and 59 Seconds   |
| #75  | x1  | The Fluid/Purplemetalflakemusic                                                              | 50 Minutes and 12 Seconds   |
| #76  | x1  | Bryan Adams/Cuts Like A Knife                                                                | 37 Minutes and 2 Seconds    |
| #77  | x1  | Boston/Third Stage                                                                           | 36 Minutes and 26 Seconds   |
| #78  | x1  | Styx/The Grand Illusion                                                                      | 39 Minutes and 0 Seconds    |
| #79  | x1  | Snow Patrol/Eyes Open                                                                        | 45 Minutes and 5 Seconds    |
| #80  | x1  | Van Halen/Van Halen                                                                          | 35 Minutes and 32 Seconds   |
| #81  | x1  | Creedence Clearwater Revival/Willy And The Poor Boys                                         | 35 Minutes and 2 Seconds    |
| #82  | x1  | Bryan Adams/You Want It You Got It                                                           | 38 Minutes and 50 Seconds   |
