___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2024/11/2 to 2024/11/30                         |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #61  | x1  | Pink Floyd/Wish You Were Here                                                                | 44 Minutes and 14 Seconds   |
| #62  | x1  | The Killers/Hot Fuss                                                                         | 56 Minutes and 18 Seconds   |
| #63  | x1  | Paramore/Riot                                                                                | 38 Minutes and 52 Seconds   |
| #64  | x1  | Led Zeppelin/Led Zeppelin                                                                    | 290 Minutes and 17 Seconds  |
| #65  | x1  | Creed/Weathered                                                                              | 50 Minutes and 5 Seconds    |
| #66  | x1  | Rem/Lifes Rich Pageant                                                                       | 38 Minutes and 29 Seconds   |
| #67  | x1  | Rem/Automatic For The People                                                                 | 48 Minutes and 52 Seconds   |
| #68  | x1  | Ludwig Van Beethoven/Piano Sonatas Nos 8 13 And 14                                           | 52 Minutes and 5 Seconds    |
| #69  | x1  | Franz Ferdinand/You Could Have It So Much Better                                             | 41 Minutes and 16 Seconds   |
| #70  | x1  | Jet/Get Born                                                                                 | 48 Minutes and 38 Seconds   |
| #71  | x1  | Alanis Morissette/Jagged Little Pill                                                         | 57 Minutes and 30 Seconds   |
| #72  | x1  | The Doors/La Woman                                                                           | 48 Minutes and 46 Seconds   |
| #73  | x1  | Nine Inch Nails/The Fragile                                                                  | 103 Minutes and 47 Seconds  |
| #74  | x1  | Evard Grieg/Peer Gynt Suite No 1                                                             | 15 Minutes and 37 Seconds   |
| #75  | x1  | Olivia Rodrigo/Guts                                                                          | 39 Minutes and 18 Seconds   |
| #76  | x1  | Babe Ruth/First Base                                                                         | 42 Minutes and 2 Seconds    |
| #77  | x1  | Filter/Short Bus                                                                             | 46 Minutes and 2 Seconds    |
| #78  | x1  | Green Day/21St Century Breakdown                                                             | 88 Minutes and 10 Seconds   |
| #79  | x1  | Dire Straits/Brothers In Arms                                                                | 55 Minutes and 15 Seconds   |
| #80  | x1  | Crowded House/Crowded House                                                                  | 39 Minutes and 1 Seconds    |
| #81  | x1  | Jerry Cantrell/Boggy Depot                                                                   | 62 Minutes and 36 Seconds   |
| #82  | x1  | Supertramp/Breakfast In America                                                              | 46 Minutes and 0 Seconds    |
| #83  | x1  | My Chemical Romance/The Black Parade                                                         | 51 Minutes and 57 Seconds   |
| #84  | x1  | Phoebe Bridgers/Punisher                                                                     | 40 Minutes and 38 Seconds   |
| #85  | x1  | Bedritch Smetana/Mein Valterland                                                             | 12 Minutes and 33 Seconds   |
| #86  | x1  | Pyotr Ilyich Tchaikovsky/The Nutcracker Suite                                                | 64 Minutes and 53 Seconds   |
| #87  | x1  | Pyotr Ilyich Tchaikovsky/The Swan Lake Suite                                                 | 38 Minutes and 35 Seconds   |
| #88  | x1  | Alice In Chains/Black Gives Way To Blue                                                      | 54 Minutes and 17 Seconds   |
| #89  | x1  | Creedence Clearwater Revival/Pendulum                                                        | 41 Minutes and 38 Seconds   |
| #90  | x1  | Supertramp/Crime Of The Century                                                              | 44 Minutes and 20 Seconds   |
| #91  | x1  | The Beach Boys/Summertime Fun Hits                                                           | 28 Minutes and 17 Seconds   |
| #92  | x1  | The Killers/Sams Town                                                                        | 44 Minutes and 14 Seconds   |
| #93  | x1  | Pyotr Ilyich Tchaikovsky/Symphony No 4                                                       | 42 Minutes and 59 Seconds   |
| #94  | x1  | Marcy Playground/Marcy Playground                                                            | 34 Minutes and 38 Seconds   |
| #95  | x1  | Metallica/Kill Em All                                                                        | 51 Minutes and 17 Seconds   |
| #96  | x1  | The Smashing Pumpkins/Siamese Dream                                                          | 62 Minutes and 12 Seconds   |
| #97  | x1  | Pink Floyd/The Wall                                                                          | 81 Minutes and 26 Seconds   |
| #98  | x1  | Puddle Of Mudd/Come Clean                                                                    | 48 Minutes and 11 Seconds   |
| #99  | x1  | The Smashing Pumpkins/Thirty Three                                                           | 25 Minutes and 53 Seconds   |
| #100 | x1  | Stone Temple Pilots/Core                                                                     | 53 Minutes and 37 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

212 listens to albums in total

637482 total seconds spent listening to music, equivalent to 10624 Minutes, 177 Hours or 7 Days. That is 1.92% of the year
Press Enter to continue...
